variable,year,mean,sd,lower,upper
b_t,1951,200636.955142749,44413.2462546097,150025.438471452,293839.313765374
b_t,1952,720455.866298722,143328.522727139,554144.767892779,1029663.37643817
b_t,1953,4.75641019406742,2.50282910849053,1.33651028609649,8.98651390385471
b_t,1954,2.36649442965027,1.21827429910812,0.756827738146105,4.4334302870999
b_t,1955,2.89697196234342,1.59466000925572,0.919363423539886,5.57001005380962
b_t,1956,3.3017018711449,1.82223405317633,1.05784949892842,6.53621178979778
b_t,1957,1.21790233617947,0.708648118658041,0.350380144116198,2.53041941094685
b_t,1958,1.42168197528569,0.853960290619395,0.405446014252067,2.9404846792273
b_t,1959,2.45023150338003,1.23837165425556,0.852886372859914,4.72381528318081
b_t,1960,3.25972904147819,1.52832686155959,1.2367482338518,5.98166784040505
b_t,1961,10.7163951052262,5.30333782050756,3.84510715865066,20.7979038018239
b_t,1962,40.1248649397007,20.1579902484724,14.9873293532712,76.4321433679074
b_t,1963,7186.57858068582,2983.02681702321,3320.61046624518,12801.8060503094
b_t,1964,20483.7538839512,10328.2307349561,8299.74044747347,40338.1859723277
b_t,1965,40611.6199112217,21112.7195251542,14567.5540247323,79480.0710816543
b_t,1966,28491.4498094121,13623.4065075743,11540.5999302147,53469.0974615849
b_t,1967,27348.7239984119,13076.2168122872,10728.8769989264,49680.467011854
b_t,1968,289112.150092755,135919.788086605,87221.5922948866,524941.629522483
b_t,1969,103788.048376224,30322.6799357778,48792.0136913812,152136.723474903
b_t,1970,112660.722695602,29008.7415594071,56859.8570213883,151619.103095007
b_t,1971,259382.482910168,59460.9502257041,146293.521420827,336798.040925093
b_t,1972,102931.517228821,17627.9346604965,73333.2642500195,128996.205056657
b_t,1973,131982.099113871,21406.3550220771,98985.5630386641,165946.167190112
b_t,1974,390552.259483506,61907.2131058176,289013.969031296,483226.977110848
b_t,1975,261112.074418074,62282.4913713759,172825.207045632,371785.617128228
b_t,1976,99853.7452190171,17966.6261593021,74671.9662269065,129648.406280757
b_t,1977,227894.135516215,42528.1975022169,160816.613897678,306309.591880323
b_t,1978,463612.405612219,71260.3348300599,353107.796290185,594645.390660716
b_t,1979,183221.209054911,41038.5976121567,102687.388735307,234578.736990181
