variable,year,mean,sd,lower,upper
b_t,1951,1970074.95057446,1959573.75874539,481584.728624205,5344733.81601891
b_t,1952,1941322.8404299,2002406.42279948,421576.926876492,5564172.07232263
b_t,1953,1638160.58518706,1736915.04064716,345004.336147968,4787803.79647101
b_t,1954,1546251.95680638,1640899.27387346,331007.119198307,4424998.81219116
b_t,1955,1623880.40462887,1704989.38728032,342344.416809017,4744614.85661585
b_t,1956,1669365.4144338,1723857.83793961,353735.557572083,4753466.93787985
b_t,1957,1511361.79989903,1614789.52274356,315071.44846655,4414741.36330475
b_t,1958,1581057.72816327,1618855.84574947,329732.941451891,4372907.80464493
b_t,1959,1504445.60369492,1592532.58283836,313886.306122005,4287874.52196647
b_t,1960,1561089.84638933,1601693.47582972,342906.72711555,4194741.14243406
b_t,1961,1781411.4219956,1901762.89483161,376122.102269976,4944926.59531871
b_t,1962,1575804.88356536,1672290.67297623,329800.486126062,4506315.95189347
b_t,1963,1649730.54044841,1726908.91809535,356038.961486521,4804079.90401488
b_t,1964,1565467.89388564,1681576.81555625,319913.467196358,4380049.6787864
b_t,1965,1247337.90720462,1292875.51891644,257822.893527352,3517403.71056237
b_t,1966,1082221.41653234,1131058.54269973,215957.50262425,3086695.70494098
b_t,1967,739867.126332833,786041.685263198,153629.840584356,2074970.01726489
b_t,1968,550258.54117826,574589.291214582,116493.008560546,1564066.54710048
b_t,1969,557077.621897507,588736.771287823,121615.122604745,1539602.19860481
b_t,1970,668667.661931573,728453.60206341,138710.848829456,1929529.56588011
b_t,1971,784253.332098113,815944.628512821,164929.868655198,2318338.43072109
b_t,1972,1070457.85323035,1105348.30074487,224167.86730469,3064213.77836003
b_t,1973,1304367.72736186,1353800.44368996,285456.909457579,3715204.49544869
b_t,1974,1511296.82268497,1609735.33585897,324421.766401768,4317460.38032777
b_t,1975,1549229.34455005,1641799.1000108,327803.708414645,4392803.7669432
b_t,1976,1772178.94823298,1824621.69535055,380619.1277814,4942583.36474428
b_t,1977,1904395.53622271,2011417.18600237,408801.173356203,5403432.73721812
b_t,1978,1494441.71158861,1590524.2682762,315723.32854346,4061736.36317778
b_t,1979,1264387.92241207,1339740.91288963,267991.799544437,3430823.8128157
b_t,1980,1376654.9811681,1453346.70108703,304664.712959412,3830746.86174625
b_t,1981,1642441.72354416,1737963.81984916,347041.839505005,4529767.17859267
b_t,1982,2023866.85595668,2131864.74051252,436120.462678138,5703618.72960967
b_t,1983,2443469.14972225,2556801.46557475,531370.843913153,6751019.443946
b_t,1984,2877849.94753283,3099600.15479822,596784.719842369,8073595.28525191
b_t,1985,1710426.08209662,1761490.82238471,379458.853284383,4916923.48874397
b_t,1986,1423841.54229181,1495766.97460785,318162.425150425,4057579.13922988
b_t,1987,2554228.66184492,2634681.16848054,577307.455014231,6981861.41407197
b_t,1988,2428551.47820663,2517311.44037187,541268.493451707,6896722.76090414
b_t,1989,2972570.69389281,3122905.05410234,633908.389799776,8538372.07892951
b_t,1990,3081819.86940069,3231905.59486137,647390.65189279,8791993.96313782
b_t,1991,2209297.59812102,2324223.4350706,480976.057997194,6070714.33596614
b_t,1992,1843013.22071603,1926312.12597037,398512.034669013,5240357.82857551
b_t,1993,1990109.7515828,1999084.82667362,436573.888623594,5403585.31614636
b_t,1994,2832493.61188585,3020281.96540725,605245.714432586,8087409.88629814
b_t,1995,2579116.37491057,2767542.2511474,553743.151703241,7188999.8300071
b_t,1996,2735103.17653816,2880224.20428653,611439.570379449,7604361.33293183
b_t,1997,2390727.41098147,2469691.77552954,518193.025624576,6831450.78480272
b_t,1998,2255904.255543,2357367.49764338,495096.487620073,6537158.01335706
b_t,1999,2035681.27065813,2107677.55029008,445028.707201034,5789477.66603043
b_t,2000,1672230.83976737,1717321.56214778,371348.154304759,4624625.0797408
b_t,2001,1771355.21375688,1859123.22820374,392740.399865189,5011928.29203525
b_t,2002,2297336.45203707,2409078.28241036,512397.580352894,6445484.14606338
b_t,2003,2205732.54006176,2279256.17663353,491906.395432613,6058102.15177863
b_t,2004,2379468.56455445,2524971.66449,516220.976422422,6590061.82119092
b_t,2005,2211391.86927536,2252512.9002978,505300.556137388,6185023.93544621
b_t,2006,2706448.15027641,2817942.14639492,588673.593352387,7589964.52368668
b_t,2007,2591269.71712601,2711407.49120211,564227.91638918,7381229.26022395
b_t,2008,2539325.56419233,2602797.12480008,566875.737544766,7243316.28174883
b_t,2009,2302546.40585449,2378360.41873635,509491.580153501,6503007.90642528
b_t,2010,2173690.52310915,2264839.973546,469252.063770035,5986000.84892644
b_t,2011,1820180.80963649,1936372.12375748,392712.260518708,5294418.59924796
b_t,2012,1715704.11210779,1819871.51777719,368500.044980199,4812821.4515794
b_t,2013,1662369.51420491,1742005.27139534,359203.615514278,4548802.56198538
b_t,2014,1969146.12945345,2059435.28718504,410498.896861673,5466791.43135079
b_t,2015,2162553.23717639,2215324.43948924,464055.048858019,6363894.75194618
b_t,2016,2085971.21288914,2215749.20393728,412094.690406185,6226944.0827587
b_t,2017,2001244.52624524,2301927.34306727,318987.986376963,5993705.74918566
b_t,2018,1942697.83112807,2231185.25808655,282846.807787752,5726016.43128339
b_t,2019,1907606.92921854,2146131.65313684,267734.38597869,5694943.22640539
bmsy,1951,1125402.06295805,1092555.45128016,277830.048349763,3102775.34079262
ck,1951,0.00347128824615598,0.00237881712670989,0.000725157325852821,0.00809847611260692
ck,1952,0.00277703059692478,0.00190305370136792,0.000580125860682257,0.00647878089008554
ck,1953,0.00239133190290745,0.00163874068728904,0.000499552824476388,0.00557895021090699
ck,1954,0.00239133190290745,0.00163874068728904,0.000499552824476388,0.00557895021090699
ck,1955,0.00239133190290745,0.00163874068728904,0.000499552824476388,0.00557895021090699
ck,1956,0.00277703059692478,0.00190305370136792,0.000580125860682257,0.00647878089008554
ck,1957,0.00277703059692478,0.00190305370136792,0.000580125860682257,0.00647878089008554
ck,1958,0.00308558955213865,0.00211450411263102,0.000644584289646952,0.00719864543342838
ck,1959,0.00347128824615598,0.00237881712670989,0.000725157325852821,0.00809847611260692
ck,1960,0.00347128824615598,0.00237881712670989,0.000725157325852821,0.00809847611260692
ck,1961,0.00447410485060104,0.00306603096331497,0.000934647219988081,0.0104380358784711
ck,1962,0.00447410485060104,0.00306603096331497,0.000934647219988081,0.0104380358784711
ck,1963,0.00516836249983223,0.00354179438865695,0.00107967868515864,0.0120577311009925
ck,1964,0.00532264197743916,0.0036475195942885,0.00111190789964099,0.0124176633726639
ck,1965,0.00377984720136984,0.002590267537973,0.000789615754817516,0.00881834065594976
ck,1966,0.00462838432820797,0.00317175616894653,0.000966876434470428,0.0107979681501426
ck,1967,0.00308558955213865,0.00211450411263102,0.000644584289646952,0.00719864543342838
ck,1968,0.00239133190290745,0.00163874068728904,0.000499552824476388,0.00557895021090699
ck,1969,0.00246847164171092,0.00169160329010481,0.000515667431717562,0.0057589163467427
ck,1970,0.00208277294769359,0.00142729027602594,0.000435094395511693,0.00485908566756415
ck,1971,0.00253018343275369,0.00173389337235743,0.000528559117510501,0.00590288925541127
ck,1972,0.00423497166031029,0.00290215689458607,0.000884691937540442,0.00988014085738045
ck,1973,0.00489065944013975,0.00335148901852016,0.00102166609909042,0.011409853011984
ck,1974,0.00709377038036675,0.00486124495493871,0.00148189928189834,0.0165496858514518
ck,1975,0.00558954547369916,0.00383042420003109,0.00116766444069545,0.0130403462026555
ck,1976,0.00579550857630441,0.00397156734954921,0.00121069044202939,0.0135208557853368
ck,1977,0.00855171144375226,0.00586034814815686,0.00178646535875653,0.0199510458187467
ck,1978,0.00889421188403965,0.00609505810465891,0.00185801421490734,0.0207500954618573
ck,1979,0.00589656163413695,0.00404081735923787,0.00123180057751533,0.0137566114232816
ck,1980,0.0064450251770296,0.00441667046525804,0.00134637543500007,0.0150361706490735
ck,1981,0.00814904200719816,0.00558440536145852,0.0017023471089576,0.0190116225896843
ck,1982,0.0106985103746527,0.00733151438451989,0.00223493487827839,0.0249595033790545
ck,1983,0.0169252300908685,0.0115985836838093,0.00353570597478594,0.039486369863713
ck,1984,0.0226435989283695,0.0155172884305427,0.00473028180957416,0.0528272595132141
ck,1985,0.0104069221619756,0.00713169374587626,0.00217402166290676,0.0242792313855956
ck,1986,0.00755198042885934,0.00517524881566441,0.00157762004891092,0.017618684698316
ck,1987,0.0215297011000474,0.0147539524458829,0.00449758688101161,0.0502285485117465
ck,1988,0.0220812502324922,0.0151319200560157,0.004612806322786,0.0515153063829718
ck,1989,0.0277232507285777,0.0189982908259615,0.00579142869640545,0.0646780295579956
ck,1990,0.0294033542397172,0.0201496383152891,0.00614240484211822,0.0685976919964974
ck,1991,0.0236225022137854,0.0161881148602749,0.00493477617546465,0.0551110297769693
ck,1992,0.0118818339678979,0.00814242671171389,0.002482132953358,0.0277201839027743
ck,1993,0.0150353064901836,0.0103034499148228,0.00314089809737719,0.0350771995357381
ck,1994,0.0354634521201175,0.0243025243924964,0.00740836838698483,0.0827358316277507
ck,1995,0.0257438450308808,0.0176418364377087,0.00537792787459693,0.0600600985124513
ck,1996,0.0318625691127717,0.021834898093056,0.00665613852096684,0.0743350124069398
ck,1997,0.0290130271613717,0.0198821535450413,0.00606086492947788,0.0676870633491687
ck,1998,0.031981364310529,0.0219163065013923,0.00668095501611825,0.0746121602561268
ck,1999,0.0281837749692344,0.0193138805647717,0.00588763290163526,0.0657524273889348
ck,2000,0.0234875076708794,0.0160956053053473,0.0049065756127926,0.0547960890392568
ck,2001,0.0239711738331771,0.0164270538250022,0.00500761420019476,0.0559244767109467
ck,2002,0.0370656444950655,0.0254004806529801,0.00774306877938401,0.0864737282690584
ck,2003,0.0404250801199564,0.0277026470056071,0.00844485992473713,0.0943112534847035
ck,2004,0.0426683037243612,0.0292398914954899,0.00891347270331047,0.099544668714806
ck,2005,0.0462792148977515,0.0317143899332963,0.00966779746826981,0.107968883533276
ck,2006,0.0479732035618756,0.0328752526911307,0.010021674243286,0.111920939876228
ck,2007,0.044533542608629,0.0305181092315753,0.00930312390640205,0.103896249879313
ck,2008,0.0462884716664079,0.0317207334456342,0.00966973122113875,0.107990479469576
ck,2009,0.040215260030411,0.0275588607259482,0.00840102819304114,0.0938217455952304
ck,2010,0.036809540562238,0.0252249768116317,0.00768956828334331,0.0858762406980838
ck,2011,0.027930756625959,0.019140491227536,0.00583477698988421,0.0651621384633937
ck,2012,0.0305542791426649,0.0209383483493005,0.00638283478215653,0.0712827867431661
ck,2013,0.0280888930905061,0.0192488595633083,0.00586781193472862,0.0655310690418569
ck,2014,0.0338574027582293,0.023201925001872,0.00707286226422359,0.0789889366796512
ck,2015,0.0463262701384216,0.0317466361210139,0.00967762737868693,0.108078662876135
ck,2016,0.0717492138558799,0.049168564131009,0.0149885184871606,0.16739010226351
ck,2017,0.045311111175768,0.0310509642679583,0.00946555914739308,0.105710308528537
ck,2018,0.0489297363230386,0.0335307489660464,0.0102214953730765,0.11415251996059
ck,2019,0.0418117363507137,0.0286528998675632,0.00873453449304375,0.0975463067458726
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,0.871190276752364,0.0749971582318879,0.75204097376999,0.996236752230017
dep_t,1952,0.852019984551287,0.163695428680708,0.614914248579199,1.13221961862319
dep_t,1953,0.70856857677572,0.144503573284181,0.502690628589938,0.944674278521965
dep_t,1954,0.673366487769371,0.13784671855168,0.476585007615599,0.913925278373763
dep_t,1955,0.703913566201924,0.146662297460445,0.495390911951773,0.963267980592442
dep_t,1956,0.723787449466686,0.146008313422324,0.514630560856944,0.963697256142979
dep_t,1957,0.657123638011216,0.138911371597412,0.463425939620222,0.903006477470467
dep_t,1958,0.689295699015697,0.146295278597061,0.479796038256153,0.935984771097144
dep_t,1959,0.648108795459281,0.133527079523504,0.456034009418649,0.87878059251391
dep_t,1960,0.681446913781441,0.13613250661941,0.484415614492826,0.915561285389574
dep_t,1961,0.769566793590892,0.161619798536635,0.548101311513391,1.05343738875617
dep_t,1962,0.680746515913214,0.140128677456701,0.476473205493256,0.924007228770103
dep_t,1963,0.71447616201807,0.144595430112973,0.4979745601898,0.955810325012173
dep_t,1964,0.671933847225282,0.148252281520461,0.47023103063156,0.927477188470416
dep_t,1965,0.541862426247778,0.114378140650217,0.381309255638535,0.738939903501112
dep_t,1966,0.467231247302115,0.0995101210218725,0.323478202803149,0.635675706211278
dep_t,1967,0.319473982636419,0.0651682545146774,0.225383177698692,0.431155044034375
