variable,year,mean,sd,lower,upper
b_t,1951,3712934.29437757,4425554.37192242,756676.365313508,10178106.7447477
b_t,1952,1702043.80040957,2217745.4941518,334693.007003237,4682925.96531515
b_t,1953,1210577.69499734,1540123.15763117,219895.600114507,3565019.63673745
b_t,1954,1145912.25253761,1417437.94808922,202438.943946849,3411209.56688665
b_t,1955,1148069.23970278,1519134.17127649,196080.578105633,3373482.59835238
b_t,1956,1067275.06412253,1346737.91888445,188360.022176693,3102879.83061742
b_t,1957,925293.811856175,1164361.46016919,164124.300355499,2759146.49668913
b_t,1958,892458.652867634,1203488.66057537,157972.296805764,2510866.60541954
b_t,1959,782670.237893356,949641.630773099,139656.828827348,2198455.3207718
b_t,1960,810377.731760082,992791.40904829,145878.076262545,2373504.0016785
b_t,1961,893567.58520979,1080523.96260162,170150.227888598,2619632.949049
b_t,1962,802284.411570197,972381.025955925,148183.567737375,2406686.04627365
b_t,1963,802928.699448822,1010618.08418208,142999.715557113,2376407.22235217
b_t,1964,810620.439454677,1000885.51254461,145148.669855548,2329571.09846436
b_t,1965,847728.853757234,1069222.72874632,151835.259702662,2385983.0101162
b_t,1966,804115.2409245,1055395.96082879,139582.00528418,2218462.93715951
b_t,1967,690623.037927429,914520.694135772,124058.849248604,2011186.41903399
b_t,1968,631788.126854457,756239.776473355,110805.180018361,1784112.99577245
b_t,1969,674981.354849129,801836.001083976,121730.993652947,1945261.03861023
b_t,1970,762126.514243117,906855.429382592,139897.548181376,2137827.04005857
b_t,1971,827105.777542978,1010820.99954316,152717.820010392,2379986.35738674
b_t,1972,1098256.99750027,1362594.04299765,193233.516597443,3103439.22472696
b_t,1973,1299806.80583489,1707036.81291824,236797.401686794,3684864.02639649
b_t,1974,1735914.69605726,2236615.23459759,315469.329626762,5057009.54143605
b_t,1975,3886698.86613366,4901255.63397356,688582.60949226,11384544.0950689
b_t,1976,3498531.71255258,4929600.82278661,602105.381590231,10149030.1312812
b_t,1977,2913795.75237719,3507332.10918669,516338.558713153,8424839.09608374
b_t,1978,2306000.85626157,3115854.14156422,388775.303877278,6670498.49980148
b_t,1979,2374665.46508611,3130008.80407705,429374.044837236,6955921.85210506
b_t,1980,2724629.00339382,3443276.33926786,481808.887226477,7969057.39626249
b_t,1981,3399421.11076706,4458123.49189276,588749.653833504,9813102.38576774
b_t,1982,4152814.31282416,5193382.06711646,759766.231576576,12038753.0727018
b_t,1983,4767443.99446878,6162812.83594873,865106.721034256,13481755.8098473
b_t,1984,6701748.21242909,8433726.39857296,1238145.13317084,18722029.153381
b_t,1985,6857569.6017932,8650580.301854,1209630.75590966,19665757.9258189
b_t,1986,6346413.76779852,8344661.43993242,1150924.43003971,18647669.8365931
b_t,1987,7713785.3810841,9874801.64744822,1379082.88645869,21618355.6950093
