variable,year,mean,sd,lower,upper
b_t,1951,1767748.14258843,1728422.2129443,394324.281307442,5040928.96076085
b_t,1952,995.739255966022,1850.89825034343,50.8787512166544,3180.37507122023
b_t,1953,94.5645426200526,237.923727476375,5.23993311396666,313.999134945305
b_t,1954,183.50798074815,546.274149843656,7.98521172939199,608.149801270376
b_t,1955,8617.8718138546,28040.7809035695,520.985254881755,27645.9775741492
b_t,1956,45337.7739381534,86565.1488937611,1672.58276748307,172536.238951449
b_t,1957,95804.987842003,258294.64551928,2689.24129359205,360912.473025641
b_t,1958,125224.8692754,419119.627772365,5764.07068168622,364539.971467363
b_t,1959,110627.56349604,256921.492785864,5563.75058860816,376500.711514737
b_t,1960,129738.467715858,354453.252679061,4201.52835466965,496205.683530257
b_t,1961,108121.002249813,266835.023508952,4771.56146415199,379155.406090764
b_t,1962,99207.6932469245,223619.733334553,3901.83943406115,351878.840783057
b_t,1963,105500.875096375,292663.35703533,4789.58151131687,332428.034394534
b_t,1964,111025.621946789,270769.804527324,3944.64984626447,380407.493061467
b_t,1965,101221.304357655,268884.502693201,2933.96726106857,356043.619887141
b_t,1966,128296.911705419,425780.249295049,2769.47203418231,467854.124212694
b_t,1967,163849.119325022,337862.227007642,5273.29634065518,624581.182544527
b_t,1968,111099.252086071,258680.110969965,5388.11749496953,418796.811777176
b_t,1969,101415.750570352,242537.058993104,4881.38642954179,329553.358355649
b_t,1970,221839.049485657,616562.831865689,8978.45868564457,605752.618012061
b_t,1971,262243.28277028,555421.576361014,11818.0370268433,932670.889852356
b_t,1972,274748.453373389,545300.017165785,17242.8528286461,917943.809768556
b_t,1973,444085.257928716,881212.073785447,22340.4239682941,1557073.272971
b_t,1974,396957.142082074,792699.615470249,20873.9960655612,1489548.83075098
b_t,1975,544503.112585272,1233407.12704259,12823.3414538054,2097057.8902495
b_t,1976,495130.684597518,861649.701232534,16436.1012278775,1980692.81116741
b_t,1977,730086.374943156,1377317.93898157,36964.5145947649,2722388.52562153
b_t,1978,638708.554631209,1004646.2794187,44356.3364982424,1989496.62681795
b_t,1979,1221557.11318757,2175206.21594722,71766.2319730995,3815849.77741189
b_t,1980,1173706.27652075,1649767.5719889,79772.7120218316,3760032.88961763
b_t,1981,1267023.94346601,2045078.70560149,83336.2754793373,4260030.97627323
b_t,1982,1289931.72583807,2243370.41156216,84071.9177105095,4252374.6548098
b_t,1983,993308.798821953,1585884.6377182,67741.7260038633,3246008.55806049
b_t,1984,1310345.16169424,2123635.42724743,109278.382432798,4261956.59286438
b_t,1985,1231335.3316887,1769876.6481759,79636.105246398,3922586.21078389
b_t,1986,1082349.59751037,1426632.66986545,103011.486103646,3340026.50086023
b_t,1987,1290635.05417217,2095348.80715923,116187.312369528,4281616.41181876
b_t,1988,1201812.96932329,1863338.78014225,54722.5787203951,3694062.75067068
b_t,1989,1283271.02056049,1992199.45342941,103583.184780742,4462094.62322721
b_t,1990,1304926.17692808,1957135.7623282,108481.526431491,4334056.92927413
b_t,1991,1246264.31831058,1504708.32285821,105652.163222087,3876317.64873362
b_t,1992,1397330.78283325,2336533.24090038,94923.6414182874,4786511.63479088
b_t,1993,1118728.701277,1666857.71462028,104989.710778799,3721591.7750855
b_t,1994,1164122.89116247,1964430.90435822,88126.5831887023,3663958.53768752
b_t,1995,1191441.94980799,2230158.07623835,95953.0790942867,3417352.95268117
b_t,1996,1348210.44476478,2219999.2152257,94679.594558307,4443725.73813504
b_t,1997,1239754.8420703,1760833.6408878,122597.636435144,4182185.25904071
b_t,1998,1090791.1654859,1569030.91853734,65252.8997153888,3276770.62710078
b_t,1999,1116763.69485844,1771390.75882967,107555.998603084,3648808.33934286
b_t,2000,1247964.14790774,1888680.47016404,94119.9416659495,3839661.0204227
b_t,2001,1089018.33820657,1975308.78720512,74651.78361761,3879742.39365085
b_t,2002,1144781.29355316,1679190.10571132,82207.1379211655,3437342.98725799
b_t,2003,1102183.82731708,1729247.88264424,94292.4668686251,3807767.71641731
b_t,2004,1165203.98323539,1927634.85583263,79315.8323448414,3765711.09412089
b_t,2005,964432.505475101,1424077.30846128,81978.174381294,3279392.72311755
b_t,2006,1216875.97952354,2043102.84373575,100083.484280542,3989354.97905253
b_t,2007,1316207.31787335,2244862.94930873,109502.45010068,4526478.18524983
b_t,2008,1202295.72842813,2134070.71298223,85101.3921050302,4148136.59885827
b_t,2009,969723.594837803,1219558.4795773,64323.6364786599,2895073.54729765
b_t,2010,1117034.18992531,1807856.24981515,73347.7315698138,3430708.90683595
b_t,2011,1109812.34559395,1684047.96066139,82095.0102868959,3948837.38149547
b_t,2012,1142182.64100559,2105682.71743069,88852.897664867,4271982.31555739
b_t,2013,1176255.59703538,2185114.7058968,62007.9885262698,3725878.30274763
b_t,2014,1281561.08163649,2157551.73634968,91885.1111898409,4246547.83488772
b_t,2015,1295593.37662483,4084953.87444733,48200.9034488923,4367546.77764706
b_t,2016,570828.273928841,1923137.07162095,0.0283895288017758,2375460.71935361
b_t,2017,300502.714581236,1002634.21454814,1.80239261947894e-05,1404566.68433028
b_t,2018,207215.021238636,1204965.12206212,8.89331484332261e-06,615209.562965769
b_t,2019,132309.813292649,1010993.18364986,1.64563227251101e-05,258314.620968878
bmsy,1951,1103004.23538872,1061248.2275716,246739.417126919,3001800.59329479
ck,1951,7.91799835725465e-10,5.64984065449272e-10,1.66567450689552e-10,2.02642989579056e-09
ck,1952,7.91799835725465e-10,5.64984065449272e-10,1.66567450689552e-10,2.02642989579056e-09
ck,1953,7.91799835725465e-10,5.64984065449272e-10,1.66567450689552e-10,2.02642989579056e-09
ck,1954,7.91799835725465e-10,5.64984065449272e-10,1.66567450689552e-10,2.02642989579056e-09
ck,1955,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1956,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1957,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1958,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1959,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1960,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1961,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1962,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1963,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1964,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1965,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1966,7.91799835725465e-05,5.64984065449272e-05,1.66567450689552e-05,0.000202642989579056
ck,1967,0.000395899917862732,0.000282492032724636,8.3283725344776e-05,0.00101321494789528
ck,1968,0.000158359967145093,0.000112996813089854,3.33134901379104e-05,0.000405285979158111
ck,1969,0.000158359967145093,0.000112996813089854,3.33134901379104e-05,0.000405285979158111
ck,1970,0.000158359967145093,0.000112996813089854,3.33134901379104e-05,0.000405285979158111
ck,1971,0.000292965939218422,0.000209044104216231,6.16299567551342e-05,0.000749779061442506
ck,1972,0.000316719934290186,0.000225993626179709,6.66269802758208e-05,0.000810571958316222
ck,1973,0.000522587891578807,0.00037288948319652,0.000109934517455104,0.00133744373122177
ck,1974,0.000610477673344333,0.000435602714461389,0.000128423504481645,0.00156237744965452
ck,1975,0.0006809478587239,0.000485886296286374,0.000143248007593015,0.00174272971037988
ck,1976,0.000389565519176929,0.000277972160201042,8.19511857392596e-05,0.000997003508728953
ck,1977,0.00142128070512721,0.00101414639748144,0.000298988573987746,0.00363744166294405
ck,1978,0.000710244452645742,0.000506790706707997,0.000149411003268528,0.00181770761652413
ck,1979,0.00925138928061633,0.0066012738207093,0.00194617409385673,0.0236768069024169
ck,1980,0.00916587489835798,0.00654025554164078,0.00192818480918225,0.0234579524736715
ck,1981,0.00551646945549931,0.00393624398398508,0.00116047542895411,0.0141181370839728
ck,1982,0.00660994502863618,0.00471648697837052,0.00139050507835638,0.0169166367700596
ck,1983,0.00659569263159312,0.00470631726519244,0.00138750686424397,0.0168801610319353
ck,1984,0.00683164898263931,0.00487468251669632,0.00143714396454945,0.0174840371408809
ck,1985,0.00845167144653361,0.00603063991460553,0.00177794096866028,0.0216301127076684
ck,1986,0.00918091909523676,0.00655099023888431,0.00193134959074535,0.0234964546416915
ck,1987,0.0107843137625808,0.00769508297141909,0.0022686486783917,0.0275999751806674
ck,1988,0.00983969655856035,0.00702105698133811,0.00206993370971906,0.0251824443149892
ck,1989,0.0131913852631862,0.00941263453038488,0.00277501372848794,0.0337603220638707
ck,1990,0.0122174714652439,0.00871770412988227,0.00257013576413979,0.0312678132920483
ck,1991,0.0125048948056123,0.00892279334564036,0.00263059974874009,0.0320034073442202
ck,1992,0.0152025568459289,0.010847694056626,0.0031980950532394,0.0389074539991787
ck,1993,0.0101991736839797,0.00727755974705208,0.00214555533233212,0.0261024434876782
ck,1994,0.00975972477515208,0.00696399359072773,0.00205311039719942,0.0249777748955144
ck,1995,0.0127487691550157,0.00909680843779873,0.00268190252355248,0.0326275477521237
ck,1996,0.0122713138540733,0.00875612304633282,0.00258146235078668,0.031405610524962
ck,1997,0.016379171401817,0.0116872603778836,0.00344561428496407,0.0419187288243234
ck,1998,0.0142175578502864,0.0101448538792071,0.00299088514458159,0.0363865752088152
ck,1999,0.0165905819579557,0.0118381111233586,0.00349008779429818,0.0424597856064995
ck,2000,0.0236494774934482,0.0168749440668389,0.00497503661719554,0.0605254081274723
ck,2001,0.0187141891173714,0.0133533983868936,0.00393682169704756,0.0478946705870098
ck,2002,0.018040367457169,0.0128725969471962,0.00379507279651075,0.046170178745692
ck,2003,0.0176183381447273,0.0125714604403118,0.00370629234529322,0.0450900916112357
ck,2004,0.0189929026595467,0.0135522727779317,0.00399545343969028,0.0486079739103281
ck,2005,0.0154971063848188,0.0110578681289732,0.00326005814489591,0.0396612859204128
ck,2006,0.0201148830267697,0.0143528551986733,0.00423147951731738,0.0514794250726633
ck,2007,0.0223628027603943,0.0159568449604838,0.00470436450982502,0.0572324595468127
ck,2008,0.0183570873914592,0.0130985905733759,0.00386169977678657,0.0469807507040082
ck,2009,0.0221205120106623,0.0157839598364563,0.00465339486991401,0.0566123719987008
ck,2010,0.0186809335242709,0.0133296690561447,0.0039298258641186,0.0478095605313866
ck,2011,0.0167814057183655,0.0119742722831319,0.00353023054991436,0.042948155211385
ck,2012,0.0229336904419524,0.0163641984716727,0.00482445964177218,0.0586935155016777
ck,2013,0.020953399052803,0.0149511733239841,0.00440787444759761,0.0536254143323055
ck,2014,0.0256527310778336,0.0183043537524255,0.0053964522674401,0.0656522757638224
ck,2015,0.030923742584258,0.0220654526761213,0.00650529178668045,0.0791422195801002
ck,2016,0.0337362156007549,0.0240722760765971,0.00709693937152974,0.0863400985699482
ck,2017,0.0343593620714708,0.0245169185361057,0.00722802795522242,0.0879348988979354
ck,2018,0.0356114984956903,0.0254103730375259,0.00749143439039386,0.0911394546065406
ck,2019,0.036442864569207,0.0260035893567257,0.00766632521659437,0.0932671452042238
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,0.800225683126539,0.0772890755364451,0.673043050443079,0.921489971025509
dep_t,1952,0.000464037557236156,0.000561089781679818,4.27856646254269e-05,0.00152936995511521
dep_t,1953,5.09138095076633e-05,0.000112555482957241,3.35859859613576e-06,0.0001614027053709
dep_t,1954,8.49835052426208e-05,0.000151303540906202,5.24599704224887e-06,0.000318496071232491
dep_t,1955,0.00427673872264663,0.00714574813842259,0.000329464154072698,0.0136249766359704
dep_t,1956,0.0210426261640417,0.033163459845473,0.00121587548146671,0.0706144236365243
dep_t,1957,0.0451494105250634,0.0802182411013431,0.00216020123958786,0.167532694229544
dep_t,1958,0.0533293413999918,0.0833549349859264,0.00341772677744279,0.165085444559762
dep_t,1959,0.0550757532020246,0.0889565019324267,0.00361212768308478,0.171220524470162
dep_t,1960,0.0608618588401172,0.107492388434265,0.00285791314816829,0.23247389805491
dep_t,1961,0.0543806153108301,0.104883713664863,0.00304067063806473,0.166919970787901
dep_t,1962,0.0501988744607,0.0840905821953509,0.00250035443225724,0.162309275691148
dep_t,1963,0.05026140813448,0.0854336424185565,0.00297096355634849,0.176335558984911
dep_t,1964,0.0498772952686884,0.0796284538529005,0.00362545702834039,0.164613789028656
dep_t,1965,0.0486089220579323,0.0887001052378549,0.00266515726257358,0.15697320897126
dep_t,1966,0.0544180654383372,0.100512435903979,0.00206290655484513,0.165273689645822
dep_t,1967,0.0844330121150106,0.151153955711674,0.00327415866137392,0.285582578815787
dep_t,1968,0.0502531457255656,0.0785226295952407,0.00350907289628822,0.155291548205964
dep_t,1969,0.0484817972788009,0.073677978784939,0.00343643500399241,0.151079498742182
dep_t,1970,0.0951966530708011,0.138156659858927,0.00587386582527699,0.323553207604931
dep_t,1971,0.121762490860299,0.185561403993583,0.00873964308074276,0.412882818979511
dep_t,1972,0.138299996177593,0.199256583159048,0.0137201611899749,0.500059995480849
dep_t,1973,0.207045811913757,0.255507797267622,0.0184371492210035,0.67259655821984
dep_t,1974,0.163672323506116,0.198997424687425,0.0189731134855786,0.520567203951434
dep_t,1975,0.234217143960429,0.327035845586623,0.015546695838601,0.8505636534919
dep_t,1976,0.224202108773659,0.302256987115222,0.0129082394391622,0.727215864628581
dep_t,1977,0.361426989757179,0.456829493582798,0.0289519354555455,1.38490310072777
dep_t,1978,0.323480230339196,0.344391340671035,0.0360200717045016,1.04564316686082
dep_t,1979,0.570607750915992,0.596639817031156,0.0545355283344249,1.82365412491008
dep_t,1980,0.548507858114791,0.46674819432464,0.0687647356284211,1.50468043755705
dep_t,1981,0.576557024599361,0.537371678745043,0.0782636543733145,1.77295366139087
dep_t,1982,0.564611535201358,0.458490579057294,0.0878718534310633,1.44891744034141
dep_t,1983,0.449816149457235,0.417893663204041,0.0562863220892408,1.3649199829034
dep_t,1984,0.580230354925247,0.48087644055977,0.0887537822291706,1.55899179268949
dep_t,1985,0.58000992212779,0.510722485315877,0.0838267990083776,1.70130040664183
dep_t,1986,0.56164727748152,0.483138817840211,0.0792766321413773,1.53986776609548
dep_t,1987,0.616781681868754,0.491032562478775,0.0901928307673219,1.61213111918712
dep_t,1988,0.547921696472825,0.511470152434271,0.0491164303674686,1.61508583632937
dep_t,1989,0.568191410041977,0.464210119527034,0.0839473648898842,1.4728561811741
