variable,year,mean,sd,lower,upper
b_t,1951,848278.346123889,765028.869954579,247604.6804206,2124916.4105564
b_t,1952,906193.732504953,852858.618359292,249489.12575812,2199612.37155918
b_t,1953,884628.999483291,846137.413260671,234242.706109636,2231934.44361057
b_t,1954,890341.888774467,829323.823314657,237022.324493194,2263145.40507216
b_t,1955,1008485.58015177,990736.444010478,263430.755220828,2525093.70083251
b_t,1956,1034026.13743772,962870.309623608,279398.568459783,2593878.87574367
b_t,1957,934251.839498029,938218.721203529,238884.778047635,2417728.0714111
b_t,1958,887313.522761493,868634.975497276,231992.848237716,2240994.57523669
b_t,1959,849295.302678241,822961.900304448,228828.512292963,2150363.86758445
b_t,1960,887554.328303549,891227.572795421,237768.870831622,2180243.47040278
b_t,1961,935586.380264808,909894.020349523,250925.919401483,2427024.73744531
b_t,1962,806635.185092196,756891.515219387,208619.318279235,2057252.98115629
b_t,1963,773111.429756521,751733.396775473,198847.800201054,1998467.88426347
b_t,1964,760586.928842372,753504.022791157,194607.208160271,1912939.26860041
b_t,1965,738153.823392645,703381.421718448,190483.575597299,1829762.35157526
b_t,1966,715300.411273153,702292.429039052,184202.262462221,1851479.53842972
b_t,1967,604613.462961973,595330.470671861,156528.899670251,1498642.48896352
b_t,1968,483261.308710866,463087.303483604,124307.62936346,1215512.02942444
b_t,1969,460278.323443377,435306.638033291,120234.780031776,1147243.31172331
b_t,1970,417405.03528691,399004.299033744,106118.21366954,1051878.41968763
b_t,1971,292270.966181829,292180.796034268,75956.6877006652,735782.638612309
b_t,1972,218181.749335449,218418.179660357,57321.3368133221,548332.856642987
b_t,1973,188213.828825577,189033.118787883,49545.5604304226,476229.201613618
b_t,1974,266891.325586244,256214.246571452,70631.6241489433,675093.993770642
b_t,1975,620375.864951934,608713.509928971,163829.335878493,1542050.17046074
b_t,1976,953306.486687117,906257.931273699,253224.610846927,2379778.8815808
b_t,1977,1407282.31936706,1300632.67108642,372479.098795351,3522797.86185333
b_t,1978,1370102.37702143,1266812.55218063,368184.907225233,3423249.32476059
b_t,1979,1238447.6440744,1176529.59480181,319241.335406023,3092062.84347748
b_t,1980,1086249.41402237,1057258.07206389,280894.933637684,2773429.70939979
b_t,1981,887681.572545458,835056.391838639,234778.377847698,2213888.74727129
b_t,1982,1022362.22434968,963809.321675727,273985.822565923,2495442.43786032
b_t,1983,955915.694466358,934095.961934311,251812.237892727,2401386.93554984
b_t,1984,865425.153002248,818662.439416309,225832.043545962,2242478.45736632
b_t,1985,722106.927659715,691729.080120901,190237.076035325,1880721.18099363
b_t,1986,632078.116414284,592618.547587345,167093.445681714,1609546.82974824
b_t,1987,794012.540725977,765375.849706361,205491.804364668,2010160.98672757
b_t,1988,745770.90480798,697419.867128596,193254.123015182,1844013.9623519
b_t,1989,840188.426330392,813250.802501415,216257.637672352,2101782.32680925
b_t,1990,761659.767797179,733263.419121002,200900.005490136,1928228.64251668
b_t,1991,702363.237804298,689761.44351813,185141.405056833,1794842.34143301
b_t,1992,832439.727842122,778051.797299695,220777.092057547,2125999.59498338
b_t,1993,844508.483415533,831930.49964358,230666.77401799,2143655.78494261
