variable,year,mean,sd,lower,upper
b_t,1951,527723.093429997,619379.190140099,141282.078824408,1341385.17669213
b_t,1952,291233.928742793,353417.400606519,69760.8411105553,747462.821846302
b_t,1953,229021.386397033,300437.063341646,52843.7183176302,600464.856824691
b_t,1954,237240.215142075,310000.772702645,55148.1429835406,638739.053870482
b_t,1955,291606.726374451,351122.553311148,65498.4170194609,756069.544777716
b_t,1956,233930.764817424,297127.767738826,53236.7832039557,611914.993947113
b_t,1957,197784.08187195,237301.721195701,44110.507139068,538804.729577047
b_t,1958,204915.49427127,260361.78268887,47695.5662258883,546989.369287306
b_t,1959,235129.445544953,306168.284795265,54600.3529438692,614902.900559534
b_t,1960,282668.547695545,374505.775053252,66150.0548039726,730446.053828172
b_t,1961,328064.47605026,418734.971016207,74272.4201670193,880316.729882197
b_t,1962,363738.262774673,456978.063087362,83240.870340972,960760.783438418
b_t,1963,411229.124721662,521919.784376077,95613.9630390694,1091707.51489011
b_t,1964,452581.689185618,600686.120806133,103358.327831709,1169858.50878911
b_t,1965,496034.004171083,697591.230462435,115425.561386043,1311020.0600624
b_t,1966,549176.996993006,662323.979152568,127412.180939372,1466959.91344301
b_t,1967,603258.513913313,761685.492360064,138369.044424637,1592634.61634136
b_t,1968,609692.473064896,767184.354099307,142163.381499295,1652182.40821173
b_t,1969,714043.749046277,960382.292703489,167295.388209733,1843689.80520106
b_t,1970,847747.040658708,993628.212785229,197676.472541512,2268663.52021241
b_t,1971,867349.757173999,1050295.3726024,204713.804298792,2194250.28189958
b_t,1972,943935.064739674,1194475.35156767,223207.690542292,2443246.21241945
b_t,1973,1036499.69716612,1252318.2093096,236618.87885381,2764920.48881885
b_t,1974,906132.08002216,1129816.01961087,210113.870261366,2407805.28155765
b_t,1975,1017539.57062369,1334216.70319544,236559.290923742,2603401.05417588
b_t,1976,1256684.83904809,1785753.70114999,291695.220328335,3309552.50943955
b_t,1977,1503021.80587135,1903492.60066459,346059.532596086,3851353.70073478
b_t,1978,1196616.60843829,1554031.57733237,280911.207955811,3136606.54706149
b_t,1979,1169697.62452044,1521544.19515214,269395.58117325,3053351.50960602
b_t,1980,1046281.66013536,1179563.61452852,244393.248574329,2821296.3098571
b_t,1981,1219101.63573382,1538473.85392919,291585.662364406,3254839.02297474
